#{"t_start": 1641507745.9739182, "env_id": null}
r,l,t
5.633033,436,6747.657086
9.48582,425,6756.221008
14.609153,1001,6775.347304
9.744561,754,6791.46006
14.781017,1001,6812.198655
17.746194,1001,6832.444864
7.007395,315,6839.334677
7.522955,338,6846.503377
9.859514,418,6855.052178
17.452413,1001,6875.142208
15.38323,1001,6899.049593
9.566331,1001,6919.432602
8.817421,1001,6944.221372
2.275807,139,6948.2589
13.54956,1001,6969.150544
4.693814,541,6982.26596
9.519244,364,6991.012411
11.208823,1001,7021.02116
13.415501,641,7035.517552
3.42113,195,7039.968228
9.709658,768,7059.606129
14.629052,1001,7088.51282
3.744931,197,7094.516914
18.209553,1001,7121.961092
13.745087,1001,7150.284601
13.413214,1001,7179.703443
18.210162,1001,7210.565843
14.912706,666,7226.224355
8.114663,1001,7250.839936
-2.919352,1,7251.721983
5.382069,427,7262.421189
11.469536,441,7274.453115
3.466233,150,7279.238546
7.488226,331,7289.285203
4.018625,193,7295.65208
13.737868,828,7315.767636
2.167609,104,7318.166657
8.49984,1001,7341.432256
11.40943,1001,7366.597373
9.299772,366,7377.053815
15.679459,723,7393.211114
3.74443,142,7396.984197
3.366891,150,7401.301863
19.451878,1001,7429.755236
14.527964,610,7446.552227
2.070128,89,7449.975817
2.676143,186,7455.557107
8.260697,341,7465.843218
8.941956,435,7475.37701
4.492492,271,7481.324531
14.988361,633,7493.256091
10.319836,496,7503.061555
14.302499,748,7517.095119
15.043178,1001,7535.752599
4.413622,189,7540.045236
13.767649,1001,7560.564108
8.362844,1001,7578.933336
5.462789,583,7590.441469
3.214108,196,7594.442957
3.375849,237,7599.241808
12.000271,1001,7619.3916
2.750895,177,7623.375567
4.945808,348,7630.410058
7.921063,434,7639.175922
2.527132,179,7643.034168
12.265391,709,7656.20135
3.013208,152,7659.802633
15.259916,1001,7678.217031
10.047777,1001,7697.762903
5.134857,203,7702.457005
10.668108,1001,7726.015279
11.852127,1001,7752.546663
9.431491,362,7763.227559
7.291561,431,7776.652881
6.813278,390,7788.075172
7.809381,528,7803.742061
9.698512,1001,7832.214053
15.38199,1001,7860.705686
9.741636,770,7881.852983
11.075425,1001,7905.814882
6.694127,265,7914.198627
13.670086,1001,7938.515741
17.318616,1001,7966.573119
9.095091,685,7987.430815
4.875824,216,7995.859433
8.322274,319,8007.816868
6.156981,415,8019.636349
3.485929,344,8030.15923
9.097003,778,8052.834124
16.618514,1001,8086.063852
8.993707,351,8099.071699
2.766819,127,8104.375321
15.047897,1001,8133.463249
13.490074,1001,8158.447748
7.934234,699,8174.84662
1.094556,151,8178.742731
8.734152,1001,8203.746458
19.224954,1001,8225.188691
17.130997,1001,8246.029875
3.593045,162,8249.889194
7.632194,726,8266.479187
7.665388,807,8284.327146
25.385659,975,8302.962348
13.789276,1001,8322.782867
12.172055,485,8332.261557
6.252915,361,8339.650615
11.015569,445,8348.810431
1.100179,90,8351.186382
13.228263,671,8365.765819
7.225729,321,8372.712741
8.40034,513,8382.128988
9.376448,614,8393.469942
1.644964,90,8395.731187
16.168175,1001,8415.475688
3.567206,179,8420.597518
8.95423,520,8432.86787
15.636074,1001,8454.906014
2.524238,121,8458.087792
23.135628,1001,8478.125757
14.07519,1001,8501.877666
3.200311,138,8504.891041
23.702641,1001,8523.87762
1.876379,122,8526.596883
4.426675,202,8530.741046
5.216916,248,8535.639096
6.212161,304,8541.519379
11.3665,1001,8560.335461
11.678685,1001,8579.121203
13.183542,1001,8597.371391
11.268156,1001,8616.202131
8.899775,1001,8635.452726
15.352697,1001,8654.997861
9.577265,649,8667.440092
17.864524,1001,8688.762986
2.749619,173,8692.810358
15.804734,1001,8715.019508
13.868657,1001,8737.244832
6.34986,273,8743.030092
10.214119,485,8754.989411
5.8988,318,8761.747922
8.330407,1001,8783.438567
1.398304,70,8785.917709
23.514374,1001,8805.897367
15.36806,1001,8825.523819
13.737883,1001,8845.875812
1.4503,81,8848.018076
8.367519,344,8855.794338
7.598857,359,8865.805601
8.363755,387,8874.001316
3.565415,141,8877.082382
21.316802,1001,8896.146792
6.594698,258,8901.53899
5.709812,238,8906.225964
2.11494,102,8908.662919
11.084652,1001,8930.810935
15.550519,650,8945.955799
13.926259,1001,8968.735161
3.171869,142,8973.01741
8.202647,395,8980.642884
16.431479,790,8996.18427
7.329822,259,9003.231809
9.654542,1001,9024.898956
10.940108,1001,9045.927052
12.729376,666,9060.636514
16.291753,1001,9081.745429
12.106037,432,9092.285229
18.257305,610,9104.487089
13.732602,657,9118.586196
8.285991,433,9127.612972
9.630029,1001,9149.838074
5.168016,290,9157.580284
10.84411,1001,9182.919415
12.272277,673,9199.301468
1.800434,141,9203.948594
6.371428,305,9212.833663
14.155721,1001,9232.891765
3.849351,148,9236.62892
2.849993,136,9240.116504
13.388606,1001,9260.303089
12.933247,1001,9281.582388
8.581111,1001,9303.732351
3.135798,127,9307.384757
7.011286,276,9314.13367
12.253308,486,9325.959385
12.47076,810,9343.052927
8.344929,444,9352.671589
11.985308,1001,9375.177846
5.05929,205,9380.570679
20.513841,1001,9401.345044
5.429244,210,9406.082508
2.418358,129,9409.141117
5.011519,370,9417.143782
10.274742,1001,9437.207464
9.125815,325,9445.024463
4.533147,172,9449.045885
1.963776,93,9451.361481
1.949656,145,9454.586104
15.715903,1001,9476.265749
15.097553,935,9496.553449
9.537519,661,9512.014627
4.97357,481,9524.308087
7.747541,547,9537.686472
14.146109,1001,9561.430103
24.936883,1001,9582.899475
14.282286,944,9604.525659
5.601094,321,9613.494358
7.593975,587,9627.314017
9.860534,1001,9652.267145
2.421542,151,9655.782854
16.147776,1001,9677.336157
10.286098,1001,9701.950198
8.473691,1001,9725.199487
9.816492,831,9744.712773
15.098068,1001,9767.677737
23.330707,1001,9789.540655
10.116253,711,9804.389914
7.926349,526,9818.115344
13.023227,1001,9840.152358
6.01554,276,9847.484736
18.30833,904,9866.801008
4.746563,286,9873.461139
9.085445,802,9889.890305
14.454367,1001,9911.458324
8.112736,306,9918.966044
11.866925,705,9933.897216
10.639003,1001,9957.198691
15.965528,1001,9976.687345
6.523943,397,9984.990097
13.813799,1001,10005.129437
17.714826,1001,10028.726366
13.305693,1001,10051.275003
8.567946,1001,10071.794483
2.904343,170,10076.597892
8.436589,1001,10098.679927
10.284054,381,10109.151809
