#{"t_start": 1641254759.786234, "env_id": null}
r,l,t
7.776156,204,11999.904598
4.335398,138,12007.550726
6.862754,331,12023.5056
15.55649,331,12039.261458
27.44228,533,12067.502897
4.984025,577,12096.437787
5.212477,216,12107.732306
4.523128,231,12119.743358
14.549577,360,12137.202335
6.60994,468,12160.370984
4.390813,130,12166.638581
6.340552,165,12174.412846
7.00636,250,12186.259874
6.875128,1001,12232.850587
10.726385,262,12246.982838
5.472426,151,12254.314882
12.433124,270,12268.782621
14.227362,328,12285.13883
5.469344,159,12293.162629
14.024385,904,12338.034353
4.504183,150,12344.681901
14.761017,320,12362.801674
4.404834,144,12369.946134
7.394967,208,12379.312745
2.874472,103,12385.427816
9.455957,239,12395.512856
3.332519,238,12407.811799
10.085337,259,12420.126161
15.990341,1001,12466.447719
17.777639,470,12487.516794
2.390455,93,12491.686038
4.040468,146,12501.256545
8.721034,265,12514.595427
6.72802,498,12538.483257
7.877135,1001,12585.329746
10.906897,261,12599.050942
2.507599,196,12607.70328
5.94767,165,12616.187803
12.040334,712,12652.10054
11.126161,406,12669.554042
10.572435,278,12683.030044
10.91306,255,12697.593411
3.130748,111,12705.283046
4.086069,336,12720.667335
6.630508,179,12729.928882
3.335208,109,12734.857672
10.37115,230,12745.857879
5.009675,135,12753.257741
2.114321,95,12759.086821
3.400147,164,12767.485858
4.88839,163,12776.379934
10.650246,312,12792.18043
11.879378,722,12828.372029
22.835266,569,12856.984063
7.340162,1001,12907.275016
10.560189,404,12925.13034
9.148815,578,12955.178505
5.406977,200,12964.615153
5.12864,166,12972.249107
8.772179,217,12982.561196
13.479412,343,12998.092754
17.779976,414,13019.790739
7.230091,179,13028.194451
5.236307,168,13036.081627
6.424225,169,13044.583697
9.660488,236,13057.228261
14.794849,1001,13103.763749
3.594125,119,13109.58333
4.177064,136,13117.422907
5.598509,173,13126.380855
19.129409,1001,13172.660786
11.576211,333,13188.989244
2.898985,104,13194.508111
8.599642,216,13206.934037
8.256675,1001,13254.020762
14.422338,360,13271.770076
4.883923,498,13295.522709
4.095436,142,13303.889132
3.734439,127,13310.713011
8.859001,1001,13358.003011
6.299921,169,13367.017862
3.056718,116,13374.070627
6.456883,178,13383.021281
5.868929,180,13391.647188
8.532926,278,13406.825139
2.647754,97,13411.960804
6.964563,183,13420.520609
6.132672,175,13428.837809
9.63263,241,13439.914481
8.898104,332,13457.835483
23.989921,495,13480.296213
3.257634,122,13485.946945
17.290822,362,13503.805389
9.589707,350,13521.978571
8.309904,211,13533.456723
18.645454,377,13551.36136
6.785873,174,13562.989343
3.473679,117,13569.156161
5.190635,153,13576.50789
4.979235,139,13583.256172
4.79655,153,13591.339931
3.771012,128,13598.105358
5.234299,142,13606.055969
5.94932,161,13614.326775
9.328799,1001,13660.461497
9.219985,236,13672.221645
7.793985,224,13682.585167
3.888748,139,13690.447004
3.197005,151,13697.982212
4.366334,137,13705.180351
11.787488,277,13718.873213
13.706937,355,13735.589946
3.562902,113,13743.381145
6.335705,179,13756.403497
10.89166,256,13769.917843
3.113303,110,13777.245907
6.668177,187,13787.204358
14.233148,1001,13836.122435
1.748013,84,13840.080304
1.473768,68,13843.391212
12.403314,333,13859.866019
9.206167,231,13870.203715
5.68365,150,13878.433058
3.711642,136,13885.150215
5.162745,151,13892.713895
9.81978,1001,13937.337649
14.540022,332,13952.500392
9.574606,1001,14000.365028
3.135693,109,14005.816017
8.147412,1001,14053.991439
6.33256,234,14067.062885
25.316265,1001,14114.265066
2.26876,170,14123.31729
7.616044,250,14133.999378
11.893229,292,14148.770701
11.448674,331,14165.500604
3.306658,106,14171.396745
29.893966,627,14201.558881
3.700552,141,14209.009964
6.628192,173,14219.147613
16.259528,360,14235.961065
10.456722,250,14248.74416
0.792679,71,14252.245315
5.434809,141,14258.609395
12.353023,305,14275.344137
10.091732,238,14287.775622
7.216468,191,14297.262307
17.330599,420,14315.149235
20.985178,585,14342.340163
2.93451,106,14347.377818
7.262628,252,14358.05326
3.164644,114,14363.399097
7.855366,219,14374.381296
6.852152,230,14386.371592
17.469846,1001,14430.159915
6.425799,255,14440.849608
2.840439,99,14445.435283
8.416809,203,14453.545519
6.447928,171,14463.373746
7.988815,1001,14512.9083
6.9284,183,14521.640023
14.207647,358,14537.432987
7.933438,211,14546.83897
2.090024,87,14550.875469
7.975932,1001,14598.74028
18.388408,411,14618.483074
9.762554,500,14640.57877
3.042281,107,14646.34663
7.761838,207,14655.715479
